Title,Stars,DateTime
"The Secrets of Amazon review – Alexa, why are you so disturbing?",3 out of 5 stars.,2019-11-11T20:30:19+0000
The Unremembered: Britain’s Forgotten War Heroes review – David Lammy condemns a shameful history,4 out of 5 stars.,2019-11-10T23:01:48+0000
"Green Eggs and Ham review – I'm a huge fan, I am I am!",5 out of 5 stars.,2019-11-08T06:00:38+0000
Britannia season two review – the Roman romp so radical it must be revered,4 out of 5 stars.,2019-11-07T22:01:09+0000
The Devil Next Door review – murderous Nazi or victim of mistaken identity?,3 out of 5 stars.,2019-11-06T17:17:14+0000
Rich Hall’s Red Menace review – down with the nuclear nitwits!,4 out of 5 stars.,2019-11-05T22:30:08+0000
The End of the F***ing World review – coal-black comedy makes a killer return,5 out of 5 stars.,2019-11-04T22:55:36+0000
"The Crown season three, first look review – Olivia Colman spreads regal rage on toast",4 out of 5 stars.,2019-11-04T16:00:05+0000
His Dark Materials review – a riveting realisation of Philip Pullman's magic,5 out of 5 stars.,2019-11-03T21:00:04+0000
The Young Offenders review – craic-filled comedy has the pluck of the Irish,4 out of 5 stars.,2019-11-03T11:00:19+0000
The Morning Show review – Jennifer Aniston returns in a masterwork for the #MeToo era,5 out of 5 stars.,2019-11-01T06:00:26+0000
How Europe Stole My Mum review – nothing short of a Brexit miracle,5 out of 5 stars.,2019-11-01T00:10:11+0000
For All Mankind review – Apple's solid alt-space saga avoids crash landing,3 out of 5 stars.,2019-10-31T16:01:37+0000
"The World According to Putin review – sex, lies and state-approved videotape",4 out of 5 stars.,2019-10-30T23:00:04+0000
The Great British Bake Off final review – even Paul Hollywood couldn't bear it,3 out of 5 stars.,2019-10-29T21:20:06+0000
Dickinson review – Emily Dickinson reborn as a Lizzo-loving feminist,2 out of 5 stars.,2019-10-29T17:49:06+0000
,,
"Who Are You Calling Fat? review – pride, prejudice and gastric bands",4 out of 5 stars.,2019-10-28T22:00:01+0000
"See review – Jason Momoa guts people for fun in Apple TV+'s lethal, sensual saga",4 out of 5 stars.,2019-10-28T13:39:49+0000
It’s Grime Up North review – snide doc reduces regional rap to a punchline,2 out of 5 stars.,2019-10-27T23:05:31+0000
"Seven Worlds, One Planet review – breathtaking, moving, harrowing",5 out of 5 stars.,2019-10-27T19:15:25+0000
"K-Pop Idols: Inside the Hit Factory review – blood, sweat and hair dye",3 out of 5 stars.,2019-10-25T21:30:34+0000
The Accident review – echoes of Grenfell in devastating disaster drama,4 out of 5 stars.,2019-10-24T21:00:06+0000
"Daybreak review – teen zombie apocalypse is a lazy, gory mess",2 out of 5 stars.,2019-10-24T13:08:05+0000
Warrior Women With Lupita Nyong’o review – a kick-ass tale worthy of an Oscar,4 out of 5 stars.,2019-10-23T22:05:50+0000
The British Tribe Next Door review – why did no one put a stop to this?,1 out of 5 stars.,2019-10-22T21:15:15+0000
Watchmen review – the perfect superhero story for our tattered times,4 out of 5 stars.,2019-10-21T21:10:42+0000
Looking for Alaska review – is this Dawson's Creek throwback too wholesome for Gen Z?,3 out of 5 stars.,2019-10-19T10:00:24+0000
"Modern Love review – vapid, nauseating ... and that's before Ed Sheeran shows up",2 out of 5 stars.,2019-10-18T11:56:20+0000
Living With Yourself review – are two Paul Rudds better than one?,3 out of 5 stars.,2019-10-18T05:01:00+0000
