Title,Stars,DateTime
"Wilkie Branson: TOM review – a sublime, slow-burn study of isolation",5 out of 5 stars.,2020-05-24T10:09:04+0000
The County review – one woman against the herd,4 out of 5 stars.,2020-05-24T07:00:16+0000
The week in radio and podcasts: Vent; Dead Eyes – review,Published: ,2020-05-23T16:00:02+0000
Take Me Somewhere Nice review – a sultry Bosnian road trip,4 out of 5 stars.,2020-05-23T14:00:55+0000
Body Cam review – Mary J Blige cop horror is halfway haunting,3 out of 5 stars.,2020-05-22T06:05:16+0000
"I, Pastafari review – inside the Church of the Flying Spaghetti Monster",3 out of 5 stars.,2020-05-21T12:00:55+0000
The Dalai Lama: Scientist review – a mildly enlightening soft-focus insight,3 out of 5 stars.,2020-05-21T10:00:52+0000
The Flavour of Green Tea Over Rice review – Ozu's bittersweet triumph,5 out of 5 stars.,2020-05-21T08:00:50+0000
The County review – a fierce fight for justice in the Icelandic highlands,4 out of 5 stars.,2020-05-21T06:00:48+0000
The Australian book you've finally got time for: On the Beach by Nevil Shute,Published: ,2020-05-20T17:30:35+0000
Edge of Extinction review – a gruelling fight to survive … and stay awake,2 out of 5 stars.,2020-05-20T16:00:31+0000
The Lovebirds review – wacky Netflix murder-mystery romance,3 out of 5 stars.,2020-05-20T14:00:28+0000
The Final Wish review – curse of the cliche puts paid to haunted-vase tale,2 out of 5 stars.,2020-05-20T13:00:27+0000
Take Me Somewhere Nice review – quirky arthouse road movie,3 out of 5 stars.,2020-05-20T11:00:25+0000
The Orphanage – gritty Afghan drama laced with Bollywood magic,4 out of 5 stars.,2020-05-17T07:00:53+0000
Women Make Film review – an epic trip through cinema's undiscovered world,4 out of 5 stars.,2020-05-16T14:00:32+0000
Fire Escape review – be your own Hitchcock sleuth,Published: ,2020-05-16T12:00:29+0000
,,
Scoob review – scrappy animated reboot is a ruff ride,2 out of 5 stars.,2020-05-15T07:01:32+0000
The Atom: A Love Affair review – changing reactions to nuclear power,3 out of 5 stars.,2020-05-14T11:00:08+0000
"Cassandro, the Exotico! review – melancholic portrait of wrestling star",3 out of 5 stars.,2020-05-14T09:00:06+0000
Women Make Film: A New Road Movie Through Cinema review – paean to neglected talent,5 out of 5 stars.,2020-05-14T07:00:04+0000
"Extras: Ricky Gervais and Stephen Merchant's take on celebrity is still irreverent, clever fun",Published: ,2020-05-13T23:09:03+0000
Captain Sabertooth and the Magic Diamond review – pirates on autopilot,3 out of 5 stars.,2020-05-13T17:00:46+0000
Proximity review – campy sci-fi close encounters,2 out of 5 stars.,2020-05-13T15:00:44+0000
Funeral Parade of Roses review – surreal classic charts Tokyo's queer underground,5 out of 5 stars.,2020-05-13T15:00:43+0000
The Orphanage review – terrific tale of an Afghan teen in trouble,4 out of 5 stars.,2020-05-13T11:00:38+0000
Flatpack screendance festival review – dance that leaps through the screen,4 out of 5 stars.,2020-05-12T11:29:48+0000
Capone review – Tom Hardy entertainingly feral as a gangster at the end of the road,3 out of 5 stars.,2020-05-11T17:34:31+0000
Bio-Dome: Kylie Minogue's worst career move is a blueprint for managing isolation,Published: ,2020-05-11T17:30:49+0000
The Wretched review – grisly holiday horror,3 out of 5 stars.,2020-05-10T14:00:27+0000
The Whistlers review – a glorious romp,4 out of 5 stars.,2020-05-10T11:00:23+0000
Apropos of Nothing review – Woody Allen's times and misdemeanours,Published: ,2020-05-10T08:00:20+0000
